;;powiat bolesławiecki;powiat dzierżoniowski;powiat głogowski;powiat górowski;powiat jaworski;powiat jeleniogórski;powiat kamiennogórski;powiat kłodzki;powiat legnicki;powiat lubański;powiat lubiński;powiat lwówecki;powiat milicki;powiat oleśnicki;powiat oławski;powiat polkowicki;powiat strzeliński;powiat średzki;powiat świdnicki;powiat trzebnicki;powiat wałbrzyski;powiat wołowski;powiat wrocławski;powiat ząbkowicki;powiat zgorzelecki;powiat złotoryjski;powiat Jelenia Góra;powiat Legnica;powiat Wrocław;powiat Wałbrzych;powiat aleksandrowski;powiat brodnicki;powiat bydgoski;powiat chełmiński;powiat golubsko-dobrzyński;powiat grudziądzki;powiat inowrocławski;powiat lipnowski;powiat mogileński;powiat nakielski;powiat radziejowski;powiat rypiński;powiat sępoleński;powiat świecki;powiat toruński;powiat tucholski;powiat wąbrzeski;powiat włocławski;powiat żniński;powiat Bydgoszcz;powiat Grudziądz;powiat Toruń;powiat Włocławek;powiat bialski;powiat biłgorajski;powiat chełmski;powiat hrubieszowski;powiat janowski;powiat krasnostawski;powiat kraśnicki;powiat lubartowski;powiat lubelski;powiat łęczyński;powiat łukowski;powiat opolski;powiat parczewski;powiat puławski;powiat radzyński;powiat rycki;powiat świdnicki;powiat tomaszowski;powiat włodawski;powiat zamojski;powiat Biała Podlaska;powiat Chełm;powiat Lublin;powiat Zamość;powiat gorzowski;powiat krośnieński;powiat międzyrzecki;powiat nowosolski;powiat słubicki;powiat strzelecko-drezdenecki;powiat sulęciński;powiat świebodziński;powiat zielonogórski;powiat żagański;powiat żarski;powiat wschowski;powiat Gorzów Wielkopolski;powiat Zielona Góra;powiat bełchatowski;powiat kutnowski;powiat łaski;powiat łęczycki;powiat łowicki;powiat łódzki wschodni;powiat opoczyński;powiat pabianicki;powiat pajęczański;powiat piotrkowski;powiat poddębicki;powiat radomszczański;powiat rawski;powiat sieradzki;powiat skierniewicki;powiat tomaszowski;powiat wieluński;powiat wieruszowski;powiat zduńskowolski;powiat zgierski;powiat brzeziński;powiat Łódź;powiat Piotrków Trybunalski;powiat Skierniewice;powiat bocheński;powiat brzeski;powiat chrzanowski;powiat dąbrowski;powiat gorlicki;powiat krakowski;powiat limanowski;powiat miechowski;powiat myślenicki;powiat nowosądecki;powiat nowotarski;powiat olkuski;powiat oświęcimski;powiat proszowicki;powiat suski;powiat tarnowski;powiat tatrzański;powiat wadowicki;powiat wielicki;powiat Kraków;powiat Nowy Sącz;powiat Tarnów;powiat białobrzeski;powiat ciechanowski;powiat garwoliński;powiat gostyniński;powiat grodziski;powiat grójecki;powiat kozienicki;powiat legionowski;powiat lipski;powiat łosicki;powiat makowski;powiat miński;powiat mławski;powiat nowodworski;powiat ostrołęcki;powiat ostrowski;powiat otwocki;powiat piaseczyński;powiat płocki;powiat płoński;powiat pruszkowski;powiat przasnyski;powiat przysuski;powiat pułtuski;powiat radomski;powiat siedlecki;powiat sierpecki;powiat sochaczewski;powiat sokołowski;powiat szydłowiecki;powiat warszawski zachodni;powiat węgrowski;powiat wołomiński;powiat wyszkowski;powiat zwoleński;powiat żuromiński;powiat żyrardowski;powiat Ostrołęka;powiat Płock;powiat Radom;powiat Siedlce;powiat Warszawa;powiat brzeski;powiat głubczycki;powiat kędzierzyńsko-kozielski;powiat kluczborski;powiat krapkowicki;powiat namysłowski;powiat nyski;powiat oleski;powiat opolski;powiat prudnicki;powiat strzelecki;powiat Opole;powiat bieszczadzki;powiat brzozowski;powiat dębicki;powiat jarosławski;powiat jasielski;powiat kolbuszowski;powiat krośnieński;powiat leżajski;powiat lubaczowski;powiat łańcucki;powiat mielecki;powiat niżański;powiat przemyski;powiat przeworski;powiat ropczycko-sędziszowski;powiat rzeszowski;powiat sanocki;powiat stalowowolski;powiat strzyżowski;powiat tarnobrzeski;powiat leski;powiat Krosno;powiat Przemyśl;powiat Rzeszów;powiat Tarnobrzeg;powiat augustowski;powiat białostocki;powiat bielski;powiat grajewski;powiat hajnowski;powiat kolneński;powiat łomżyński;powiat moniecki;powiat sejneński;powiat siemiatycki;powiat sokólski;powiat suwalski;powiat wysokomazowiecki;powiat zambrowski;powiat Białystok;powiat Łomża;powiat Suwałki;powiat bytowski;powiat chojnicki;powiat człuchowski;powiat gdański;powiat kartuski;powiat kościerski;powiat kwidzyński;powiat lęborski;powiat malborski;powiat nowodworski;powiat pucki;powiat słupski;powiat starogardzki;powiat tczewski;powiat wejherowski;powiat sztumski;powiat Gdańsk;powiat Gdynia;powiat Słupsk;powiat Sopot;powiat będziński;powiat bielski;powiat cieszyński;powiat częstochowski;powiat gliwicki;powiat kłobucki;powiat lubliniecki;powiat mikołowski;powiat myszkowski;powiat pszczyński;powiat raciborski;powiat rybnicki;powiat tarnogórski;powiat bieruńsko-lędziński;powiat wodzisławski;powiat zawierciański;powiat żywiecki;powiat Bielsko-Biała;powiat Bytom;powiat Chorzów;powiat Częstochowa;powiat Dąbrowa Górnicza;powiat Gliwice;powiat Jastrzębie-Zdrój;powiat Jaworzno;powiat Katowice;powiat Mysłowice;powiat Piekary Śląskie;powiat Ruda Śląska;powiat Rybnik;powiat Siemianowice Śląskie;powiat Sosnowiec;powiat Świętochłowice;powiat Tychy;powiat Zabrze;powiat Żory;powiat buski;powiat jędrzejowski;powiat kazimierski;powiat kielecki;powiat konecki;powiat opatowski;powiat ostrowiecki;powiat pińczowski;powiat sandomierski;powiat skarżyski;powiat starachowicki;powiat staszowski;powiat włoszczowski;powiat Kielce;powiat bartoszycki;powiat braniewski;powiat działdowski;powiat elbląski;powiat ełcki;powiat giżycki;powiat iławski;powiat kętrzyński;powiat lidzbarski;powiat mrągowski;powiat nidzicki;powiat nowomiejski;powiat olecki;powiat olsztyński;powiat ostródzki;powiat piski;powiat szczycieński;powiat gołdapski;powiat węgorzewski;powiat Elbląg;powiat Olsztyn;powiat chodzieski;powiat czarnkowsko-trzcianecki;powiat gnieźnieński;powiat gostyński;powiat grodziski;powiat jarociński;powiat kaliski;powiat kępiński;powiat kolski;powiat koniński;powiat kościański;powiat krotoszyński;powiat leszczyński;powiat międzychodzki;powiat nowotomyski;powiat obornicki;powiat ostrowski;powiat ostrzeszowski;powiat pilski;powiat pleszewski;powiat poznański;powiat rawicki;powiat słupecki;powiat szamotulski;powiat średzki;powiat śremski;powiat turecki;powiat wągrowiecki;powiat wolsztyński;powiat wrzesiński;powiat złotowski;powiat Kalisz;powiat Konin;powiat Leszno;powiat Poznań;powiat białogardzki;powiat choszczeński;powiat drawski;powiat goleniowski;powiat gryficki;powiat gryfiński;powiat kamieński;powiat kołobrzeski;powiat koszaliński;powiat myśliborski;powiat policki;powiat pyrzycki;powiat sławieński;powiat stargardzki;powiat szczecinecki;powiat świdwiński;powiat wałecki;powiat łobeski;powiat Koszalin;powiat Szczecin;powiat Świnoujście
powiat białobrzeski;1401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18289;;;;;11;;;;;;;;;;;;;;;;;;;105;;;;;;;;;;;;;;;211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat ciechanowski;1402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;51438;;;;;;;;;28;;160;;;;;;;31;;74;;11;;;;;;;;;;;;;;;;;;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;
powiat garwoliński;1403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;113;;;;;215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54355;;;;;;;;;;;;;;46;;;;;;;;;;;;;;;;;;;;;;;;;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat gostyniński;1404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65;;;14;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;26047;;;;;;;;;;;;;;;121;;;;;;;;;;;;;;;;;;;;109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat grodziski;1405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;;;;;;;;60;;11;;;;;;;18;;147;;;;;;;;;;;;;;;;;;;;;;;;;;;43059;30;20;11;;;;;;;;;;40;;;868;;;;;;;130;;;158;;;;10;;1691;;;21;;719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat grójecki;1406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;385;;;;;52751;140;10;;;;;;;;;;174;108;10;;11;57;;43;;11;;;;;;;21;;;;;;271;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat kozienicki;1407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;12;;;;;;12;;;;;;;;;;;;;;;;;16;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;17;32492;;;;;;;;;;;;;;;;;;340;;;;;;;;;;168;;;;;105;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat legionowski;1408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;;;;14;;56152;;;30;;12;634;;99;;;;45;;47;;271;;;;;;;;;265;;;;;12;;;;967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat lipski;1409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19312;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat łosicki;1410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17509;;;;;;;;;;;;;;;;64;;;;;;;;;;;;;;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat makowski;1411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;26069;;;;29;;;;;;;113;;;;;;;;;;;;;;;;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat miński;1412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;10;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;;;;;;;;;74651;;;;;236;;;;;;;;;195;;;;;;89;113;;;;;;;;151;725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat mławski;1413;;;;;;;;;;;;;;;83;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;170;;;;;;;;;;;42048;;;;;;;14;;34;;;;;;;;;;;;;;130;;;;;;15;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;537;;;;;;;;47;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat nowodworski;1414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;197;;;;;;417;;;;;12;41103;;;;;111;1060;10;;;120;;;;10;;;84;;;;;;;;10;;;675;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat ostrołęcki;1415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;51194;;;;;;;;;;;;;10;;;13;;;;;;;920;;;;12;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;226;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;20;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat ostrowski;1416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;71;41228;;;;;;;;;;;;;;;;36;;35;;;;39;;;;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat otwocki;1417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;96;;64;;;;;;;;;;;;;;;;;;;;;;;;;;;2057;;;;;;;;;933;;;;;59040;33;;;;;;;;;;35;;;;16;44;;;;;;;;10;1731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;10;;;24;;;;;;;;;;;;;;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;;;;;;;
powiat piaseczyński;1418;;;;;;;;;;;11;;;;;;;;;;;;;;25;;;;169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;28;;;;;;;;;;;;;;;;14;;;;;;;;;31;;;;;;;;;;;;61;;11;;;;;;;;;;26;;;;;;23;;;;46;;;97;;191;;101;1321;210;71;;;;37;;42;;;151;89039;51;22;562;;;15;108;;;;;;49;;254;24;19;;59;;;135;;3708;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;14;;;;98;40;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;24;;;;;32;;80;;18;;;;;;;;;;;;12;;;;;;22;11;;17;;;33;77;13;18;19;;16;73;;;;;;;;19;;11;;;109;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;116;;;;;;;;;;;10;;;;;;;;;220;
powiat płocki;1419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;204;;;;;;;;;93;;;;;;60982;73;;;;;;;199;;;;;;;;;;;;1252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat płoński;1420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;;;;;;;;;;;42;32;;;15;;30;48404;;;;;;;23;;;;;;;;;39;;;12;;;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat pruszkowski;1421;;;;;;;;;;;;;;;;;;;10;;;;69;;;;;;268;;;;;;;;;;31;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;15;;;27;;;;;;;10;;;;;;;123;20;119;;;;;;;;;;;;;;;;;;;;102;;;10;;;;1901;152;;55;;;;20;;19;;;43;861;19;28;76672;;10;;;;;57;;;444;;208;22;;;811;;;59;33;4997;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;43;;;;;;;;;;;;;;;;;;;74;31;;;13;;;;;;;;;;;;;;;;;;11;18;;17;10;;22;28;;10;14;;33;72;;10;18;11;;;;;;;28;;;;;;;26;;;;;;;;;;;16;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;;;;;;;;;;;;;;;;;;;;;
powiat przasnyski;1422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;;;;;;;;;111;;43;;;;;;;;;29995;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat przysuski;1423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23664;;;;;;;35;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat pułtuski;1424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;83;;;10;;;;;;;;;;28792;;;;;;;;;;25;;;;;;;;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat radomski;1425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;82;;20;;;;;;;;;;;;;;51;;85262;;;;;96;;;;;40;;;;;1728;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
